Correction	ErrorFrequency	Errors
così	43	[cosi, cosí, cosí, cosi, cosi, cosi, cosi, cosi, cosi, cosí, cosi, cosi, cosi, cosi, cosí, cosí, cosí, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosí, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi, cosi]
serata	2	[seratta, serrata]
nuove	1	[nove]
farei	1	[farrei]
vacanze	5	[vacance, vacaze, vacansa, vacance, vaganze]
cattolica	1	[chattolica]
nuovi	1	[novi]
praticamente	1	[pratticamente]
facendo	1	[faccendo]
sapendo	1	[sabendo]
futura	1	[futtura]
proprio	2	[probrio, propio]
sei	1	[e]
affittato	1	[affitato]
al	2	[all, all]
organizzato	2	[organizato, organizerà]
vacanza	1	[vaqanza]
vendita	1	[vendità]
cercare	1	[chercare]
professoressa	2	[profesoressa, profesoressa]
serate	1	[serete]
ad	1	[a]
camminando	1	[caminando]
senza	1	[cenca]
sarebbe	1	[sara]
dovresti	1	[dovesti]
comprare	4	[compare, compare, compare, compare]
voglio	1	[vogli]
costretto	1	[costreto]
spettacoli	1	[spettaccoli]
persona	1	[personne]
attualmente	1	[atualmente]
incubo	1	[inbuco]
simpatica	3	[simpatice, sympatica, sympatica]
annuncio	5	[annucio, anuncio, anuncio, annunzia, anuncio]
pericolose	1	[pericoloze]
cercando	1	[chercando]
almeno	1	[allmeno]
pacchetto	2	[pachetto, pachetto]
arrivederci	2	[arivederci, arrividerci]
giusti	1	[guiste]
mille	3	[mile, mile, milli]
continuamente	1	[continualmente]
teatro	2	[theatro, theatro]
voglia	3	[voligia, volgia, volia]
mangiamo	1	[mangare]
accettabile	1	[accetabile]
saputo	1	[soputo]
comincerò	1	[comincierò]
cresciuta	1	[crescuta]
potresti	2	[postresti, pottresti]
luglio	4	[giuglio, giuglio, giuglio, giuglio]
associazione	1	[assocazione]
importante	1	[importane]
aspetti	1	[aspeti]
interessantissimo	1	[interesantissimo]
cerco	1	[cercho]
aquila	1	[aguia]
realtà	2	[realtá, ralta]
andrò	4	[andró, andró, andro, andró]
obbligazione	1	[obligazione]
decisione	1	[decizione]
aspetto	3	[aspeto, aspeto, asspetta]
arrivata	1	[arivata]
maturità	7	[maturita, maturita, maturita, maturita, maturita, materità, maturita]
padrone	1	[patrone]
capirò	1	[capiro]
simpatico	1	[sympatico]
puntuale	1	[ponctuale]
ventitré	2	[ventitre, ventitre]
là	4	[la, la, l', la]
distinti	2	[destinti, distini]
realizzate	1	[realizate]
istituto	1	[instituto]
esperienza	4	[esperianza, esperianza, esperianza, experienza]
gioia	1	[goia]
cerca	3	[cercha, cercha, cerci]
soggiorno	1	[sogiorno]
simpatici	1	[simpathici]
oggetto	2	[ogetto, obbgetto]
possono	1	[puó]
possibilità	13	[possibilita, possibilita, possibilita, possibilita, possibiità, posibilitta, possibilita, possibilita, possibilita, possibilitá, possibilita, possibilita, possibilita]
grazie	4	[graciè, grazié, grazzie, gracie]
lo	1	[glilo]
pubblicato	2	[publicato, publicato]
abbigliamento	1	[abbilliamento]
aiutante	1	[auitante]
sabato	1	[sabbato]
aiutarti	1	[ajuttarti]
inviato	1	[enviato]
modelle	2	[modele, modele]
aria	1	[area]
consigli	1	[consingli]
bisogno	4	[bissognia, bisognò, bisgono, pissonio]
sicuro	2	[securo, securo]
sociologia	1	[soziologia]
peccato	3	[pecato, peccáto, pecato]
lamentare	1	[lammentare]
visitiamo	1	[visitamo]
impazienza	1	[impatienza]
pubblicata	1	[publicata]
conoscono	1	[cognosco]
telefonerò	1	[telefoneró]
ma	2	[mo, mà]
pazienza	2	[pacienza, pasienza]
direttamente	1	[directamente]
esame	2	[eseme, eseme]
ammessi	1	[amessi]
situazione	1	[stazzione]
società	5	[societa, societa, societa, societa, societa]
raccontare	2	[racontare, racontare]
mandato	1	[mandatò]
spero	6	[espero, espero, espero, espero, speró, espero]
ultimamente	1	[ultimamento]
arriverò	1	[arriveró]
viaggiare	1	[viaggare]
piccola	1	[picolla]
preferito	1	[prefferito]
cognati	1	[cogniati]
ragione	1	[raggione]
dopo	9	[doppo, doppo, doppo, doppo, doppo, doppo, doppo, doppo, topo]
chiedere	2	[chierdere, chieder]
accanto	1	[a]
sistema	1	[systema]
per	2	[pela, par]
aereo	2	[areo, aero]
piccolo	1	[picolo]
sarò	3	[saró, saró, sara]
cerchi	5	[cerci, cerghi, cerci, cherchi, cerci]
rilevanti	1	[relevanti]
riparazione	2	[riperazione, reparazzione]
bugiardi	1	[bugardi]
meravigliosa	1	[mervegliosa]
giurisprudenza	1	[giurisprudenzia]
meravigliose	1	[maravigliosi]
sarà	7	[sará, sará, sará, sara, sára, e, sará]
innanzitutto	1	[in]
altrimenti	1	[altrimente]
collegamenti	1	[colleghamenti]
ciao	1	[ciau]
meraviglia	1	[maraviglia]
dammi	1	[dame]
richieste	2	[risquieste, ricieste]
preparare	1	[priparare]
villaggio	2	[villaggo, villagio]
poco	1	[po]
frequentato	1	[fruquantato]
mese	1	[maese]
nella	1	[nellà]
difficile	5	[dificile, dificile, dificile, dificile, dificile]
immaginato	1	[immagginato]
piacere	3	[piacciere, piaccere, piaccere]
venire	2	[vinire, venir]
piaciuto	3	[piaciutto, piacuta, piacuto]
libero	3	[liberò, libro, libro]
felicità	1	[felicitá]
nelle	1	[neelle]
mesi	1	[messi]
messaggio	5	[messeggio, messagio, messagio, messagio, messagio]
poca	1	[pocca]
bei	1	[belli]
sicuri	1	[seccuri]
tratta	1	[trata]
ripeto	1	[repeto]
sicura	1	[secura]
affermare	1	[affirmare]
piacerebbe	3	[piascerebbe, piaccerebbe, piaccerebbe]
bel	6	[bello, bello, bello, bello, bello, bello]
sapete	2	[sappete, savete]
meraviglioso	1	[mariviglioso]
brutto	1	[bruto]
condizionale	1	[conditionale]
volontario	1	[volintario]
ancora	5	[ancòra, anchora, anchora, anchora, ancor']
le	1	[l']
la	6	[l', l', là, dela, el, al]
tua	2	[tio, ta]
ieri	2	[hieri, iieri]
leggerò	1	[leggeró]
menzionato	1	[menziato]
racchette	1	[raccette]
migliori	1	[megliori]
undici	1	[undieci]
ascolti	1	[asolti]
migliore	1	[miliore]
dipende	2	[depende, depende]
costruzione	1	[construzione]
sera	1	[ser]
ho	1	[h]
paesaggi	1	[paisaggi]
virtuali	2	[virtualli, virtualli]
servizio	1	[servicio]
ritornare	1	[riturnare]
signor	4	[signore, singnor, signore, signore]
pratica	1	[prattica]
giornata	1	[gironata]
articolo	1	[articulo]
svegliato	1	[svegliàta]
interessante	1	[intereserante]
lettera	1	[lettra]
interessanti	2	[interesanti, interesanti]
utilizzo	1	[utilizo]
organizzazione	1	[organisazione]
immagino	1	[imagino]
perfezionare	1	[perfezzionare]
gentile	2	[gentil, gentille]
piace	5	[piacce, piaccio, piacce, piacce, piacce]
necessario	2	[necesario, neccessario]
il	6	[li, all, el, el, el, el]
ritorniamo	1	[ritornamo]
giovedì	74	[giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, giovedi, govedì, giovedi, giovedi]
in	3	[n, à, al']
stazione	1	[statizione]
notizie	2	[noticia, noticies]
mostrerò	1	[monstrero]
sempre	1	[sembre]
poter	1	[potere]
racconterò	1	[raconterei]
scoprire	1	[discoprire]
sapere	3	[sappere, sappere, sappere]
assistente	2	[assistante, assistante]
estate	1	[state]
abbiamo	4	[abiamo, abiamo, abiamo, abiamo]
già	16	[giá, gia, gia, gia, gia, gia, gìa, gia, gia, gia, gia, gia, gia, gia, gia, gia]
inviterò	1	[invitero]
vuole	3	[voule, voule, voule]
buon	3	[buono, buono, buono]
partecipato	1	[participato]
meglio	2	[meillore, melio]
bere	1	[berre]
sembrava	1	[semprava]
siano	1	[sìano]
scriveremo	1	[scrivremo]
pezzetto	1	[pezzeto]
lungo	1	[lungho]
chitarra	1	[chittara]
purtroppo	1	[portroppo]
innanzi	1	[innazi]
reparto	1	[riparto]
soltanto	2	[soltanta, soltante]
avvocato	1	[avocato]
insieme	1	[insième]
incoraggiano	1	[incorreggiano]
bella	1	[lella]
tutto	3	[tuto, tuto, tuto]
promuovere	1	[promovere]
gentili	1	[gentille]
tre	1	[très]
indirizzo	1	[indirizio]
eccetera	1	[ecetera]
sì	3	[si, si, si]
contento	1	[conteo]
progetti	2	[proggetti, projetti]
rimborso	1	[rimboso]
spagnoli	1	[espagnoli]
allora	5	[alora, alloro, alora, alora, alora]
malattia	1	[malatia]
appartamento	1	[apartamento]
negozio	2	[negozzio, negozzio]
tuoi	1	[vuoi]
imparare	1	[imparar]
straordinario	1	[estraordinario]
preferisci	1	[preferici]
vorresti	2	[vorei, vorebbi]
eterna	1	[eternà]
tantissimo	1	[tantíssimo]
riguardo	1	[reguardo]
preferisco	1	[prererisco]
inizio	1	[inizo]
puoi	12	[poi, poi, puoì, poui, poui, pùoi, poi, poui, poi, poi, poi, poi]
vocabolario	1	[vocabulari]
cosicché	1	[cosicche]
sogno	1	[sognio]
riferimento	2	[refiremento, referimento]
progetto	5	[proggetto, proggetto, proggietto, proggieto, proggieto]
invece	1	[invence]
quale	3	[qual, qual, qalalcuno]
va	1	[và]
comune	1	[commune]
quanto	3	[quato, chè, quando]
accettazione	1	[accetazione]
profittate	1	[profitate]
altrettanto	1	[altretando]
qualche	13	[quache, qualce, qualge, quache, qualque, gualche, qual, qualce, qualque, qualce, quelche, qualque, qualce]
specializzazione	1	[spezializzazione]
comunicativa	1	[communicative]
scrupoli	1	[scrupuli]
impariamo	1	[imparamio]
adesso	3	[adresso, adeso, addesso]
come	3	[comme, comè, comè]
superficiali	1	[superficile]
invio	1	[invito]
baci	12	[bacci-unreadable-, bacci, bacci, bacci, bacci, bacci, bacci, bacci, bacci, bacci, bacci, bacci]
conoscete	1	[conoschete]
un	5	[uno, uno, um, uno, uno]
agosto	6	[augusto, augosto, augosto, augosto, augosto, augosto]
architetto	1	[architecto]
cambiare	1	[chambiare]
professore	2	[proffessore, proffessore]
partecipare	15	[participare, participare, participare, particepare, participare, participare, participare, participare, participare, participare, participare, participare, participare, participare, participare]
riusciva	1	[risciva]
suppongo	1	[supongo]
ringrazio	3	[ringrazzio, ringrazzio, ringarzio]
conduttore	1	[condottore]
tollerare	1	[tolerare]
professori	1	[proffessori]
più	32	[piú, piú, piu, piu, piu, piú, piu, piu, piu, piu, piú, piu, piú, piu, piu, piú, piú, piú, piu, piu, pui, piú, piu, piu, piu, pio, piu, piu, piu, piu, piu, piu]
andare	1	[anadare]
traduzioni	1	[traducione]
con	2	[com, von]
uomo	1	[huomo]
specialità	2	[specialite, spezialità]
vedremo	1	[vederemo]
dettagli	2	[dattagli, detagli]
passeggiare	1	[passegiare]
cara	1	[cera]
ricchezza	1	[riccezza]
lezioni	3	[lessione, lessioni, letioni]
te	1	[té]
caffè	5	[caffe, caffé, café, café, caffé]
perdonare	1	[perdonnare]
ti	2	[dati, di]
avrà	1	[a]
caro	1	[carro]
cavaliere	1	[cavagliere]
pubblicità	1	[publicità]
su	1	[sul']
perciò	3	[percio, perció, perchó]
avrò	4	[avró, avró, avró, averò]
solidarietà	4	[solidarietá, soliderietà, solidarieta, solidarieta]
vivere	1	[vivre]
insegnante	2	[insengnante, insieniante]
fosse	1	[sará]
vita	2	[vitta, vità]
freddo	1	[fredo]
parcheggio	1	[parccheggio]
albergo	8	[albergho, albergho, allbergo, allbergho, allbergo, albergho, albergho, albergho]
sta	1	[stà]
riunione	4	[runione, riuniune, runione, reunione]
ditta	8	[dittà, dittà, dita, dità, dità, dita, dità, dita]
se	14	[ser, si, si, si, si, si, si, si, si, si, si, si, si, si]
congratulazioni	1	[congratulazzioni]
si	2	[se, sì]
dove	1	[dovè]
giocando	1	[gioccando]
ogni	1	[ogne]
internazionale	2	[internationale, internationale]
saluti	6	[salutti, salati, salutti, salutì, salutti, salutti]
tirocinio	1	[tiroccinio]
autunno	1	[autuno]
ambienti	1	[abiente]
passare	1	[pasare]
centro	1	[contro]
ovviamente	1	[oviamente]
giovani	1	[giovanni]
fredda	1	[freda]
comprensione	1	[compressione]
naturalmente	2	[naturalemente, naturalemente]
regione	1	[reggione]
passeggiate	3	[passegiathi, passegiatte, passegiate]
né	6	[ne, ne, ne, ne, ne, ne]
difficoltà	1	[difficultà]
selvaggi	1	[salvaggi]
passeggiata	2	[passegiata, spassegiata]
pochi	1	[pocchi]
conosco	2	[conesco, consco]
sono	1	[son]
era	2	[èra, erá]
bugie	1	[buggia]
bocca	1	[boca]
fratello	1	[frattelo]
compleanno	2	[compleano, compleano]
lavorare	2	[lavolare, lavarare]
tartufo	1	[tartuffo]
cordialmente	1	[cordilmente]
ditte	1	[dite]
vitto	1	[sitto]
conversazione	1	[conversatione]
anche	16	[anché, anché, anché, anchè, anchè, anché, anché, ance, anchè, anché, anché, anchè, anché, anché, anché, anché]
giochiamo	1	[giocciamo]
iscrizione	1	[incrizione]
trovarti	1	[trovati]
completa	2	[completta, completto]
finirò	1	[finiró]
desideri	1	[disederi]
cosa	3	[chosa, cosi, chosa]
martedì	5	[martedi, martedi, martedi, martedí, martedi]
classe	1	[clase]
insegnanti	1	[impegnanti]
benissimo	2	[belissimo, benissima]
camera	1	[camara]
viviamo	1	[vivamo]
negozi	1	[negozzi]
occupato	2	[occupató, ocupato]
anziché	2	[anziche, anzichè]
assieme	2	[asieme, asieme]
abilità	1	[abilita]
appassionati	1	[appassianati]
accademia	1	[academia]
quel	3	[quele, quello, quello]
obbligatorio	2	[obligatorio, obligatorio]
lì	9	[li, li, li, li, li, li, li, li, li]
specie	1	[spece]
baviera	1	[bavieria]
dipartimento	1	[dipartamento]
chiama	3	[ciama, ciamo, ciama]
impero	1	[imperio]
sai	1	[fai]
abito	1	[habito]
danza	1	[dansa]
aver	4	[avere, avere, avere, avere]
tesi	1	[thesi]
vostra	1	[votra]
sviluppato	2	[sviluperà, svilupato]
vicino	1	[viccino]
affettuosamente	2	[affetuosamente, affetusamente]
praticare	3	[practicare, practicare, practicare]
interessa	1	[interesate]
regolare	1	[regolamente]
soddisfazione	1	[sodisfazione]
licenza	1	[licencia]
pagano	2	[paghano, paghano]
montagna	1	[montagnia]
alcune	1	[alquni]
forse	4	[forze, forsè, forze, forze]
alberghi	1	[albergi]
affettuosi	1	[affetuosi]
saper	1	[sapere]
abitare	1	[abbitare]
fermata	1	[ferrata]
affettuoso	1	[affettoso]
vederti	1	[verderli]
appuntamento	1	[apunntamento]
uno	2	[un, un]
confidenza	1	[confidenzà]
occasione	3	[occassione, occassione, occassione]
non	2	[son, con]
vantaggioso	1	[aventaggioso]
comunicazioni	1	[communicazioni]
professione	4	[proffessione, proffessione, proffessione, proffessione]
aiuto	1	[ajuto]
signora	3	[singora, signiora, segnora]
soddisfatta	2	[soddisfata, sodisfatta]
eccezionale	1	[eccecionale]
comunicazione	2	[communicazione, communicazione]
attesa	5	[atesa, attessa, atesta, atessa, atesa]
giocattoli	1	[giocatoli]
signore	2	[signor, signor]
prenotato	1	[preonotato]
cultura	1	[cultara]
problemi	1	[promplemi]
cucina	2	[cuccina, cuccina]
ricevere	2	[recevuto, recevere]
siccome	7	[sicomme, sicome, sicome, siccomè, sicome, sicomme, perche]
stanno	1	[stano]
qualcosa	3	[qualchosa, qualchosa, quelcosa]
compagnia	2	[compania, compania]
prendere	1	[pendere]
presenterà	1	[prezenterà]
capo	2	[capouffico, cappo]
direttore	2	[directore, derettore]
museo	1	[muséo]
giardino	2	[gardino, gardino]
seguiamo	1	[sequono]
molto	2	[moltto, moltto]
città	25	[cita, cità, cità, citta, citta, cita, cittá, citta, cittá, cità, citta, cìtta, cittá, cittá, cita, cittá, cittadel, citta, citta, citta, cittá, cittá, citta, citta, cità]
grata	1	[grada]
orari	1	[oriari]
dei	1	[de]
opera	1	[operà]
del	1	[dell']
figlio	2	[filgio, filho]
chiudeva	1	[cudeva]
cioè	1	[cioé]
annunciare	1	[anunciare]
valutati	1	[valuttati]
cinque	1	[quinque]
comincio	2	[comminció, commincio]
lezione	1	[lessione]
quindi	2	[qindi, perche]
scorsa	2	[corsa, corsa]
gruppi	1	[grupi]
perché	202	[perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perche, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perche, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perche, perche, perche, perche, perchè, perchè, perchè, perchè, perchè, perchè, perche, perche, perchè, perche, perche, perche, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perche, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perchè, perche, perche, perche, perque, perchè, perchè, perchè, perchè, perchè, pérchè, perche, perche, perche, perchè, perchè, perchè, perchè, perchè, perche, perche, perchè, perchè, perchè, perchè, perquè, perchè, perchè, perchè, perchè, perchè, perche', perche, perche, perche, perche, perce, perchè, perchè, perchè, perchè, perchè, perchè, perche, perche, perche, perche, perche, perchè, perchè, perchè, perchè, perchè, perchè, perche, perque, perqué, perche, perchè, perchè, perche, perche, perche]
conoscenza	1	[conoscienza]
arriviamo	1	[arriaviamo]
personale	1	[pesonale]
conoscenze	2	[conoscienze, conoscienze]
ricerche	1	[richerche]
lunedì	19	[lunedi, lunedi, lunedi, lunedi, lunedi, lunedi, lunedi, lunedi, lunedi, lundi, lunedi, lundì, lunedi, lunedi, lunedi, lunedi, lunedi, lunedi, lunedi]
bicicletta	1	[bicichletta]
prenotare	1	[penotare]
mamma	1	[mama]
mia	2	[ma, mià]
contatto	2	[contato, contato]
difetto	1	[diffeto]
contro	1	[contra]
dottor	1	[dottore]
regionale	1	[reggionale]
giorno	3	[oggigorni, giono, gionni]
offrire	1	[ofrire]
scuola	3	[sucola, scoula, scula]
settimana	2	[setimana, setimana]
ricca	1	[rica]
buona	2	[bono, bona]
deliziosa	1	[delicioso]
aspettiamo	2	[aspectiamo, asspetiamo]
ufficio	7	[uffiicio, officio, ufficcio, uffico, uffico, officio, uffico]
annullare	1	[annulare]
ricordi	1	[riccordi]
buono	1	[bueno]
rifiutare	1	[rifutare]
conoscerlo	1	[conescerlo]
università	17	[universita, universita, universita, universita, universita, universita, universita, universita, universita, univerista, universita, universitá, universita, universitá, universita, universita, univeristà]
amici	2	[amichi, amichi]
argomenti	2	[argumenti, argumenti]
agenzia	1	[agencia]
scritto	1	[scrito]
domande	1	[demande]
fino	2	[fin, fini]
studiavo	1	[stuavo]
amica	3	[amiga, amicca, amicha]
facoltà	3	[facolta, facolta, facolta]
rispondimi	1	[responda]
metodo	1	[mettodo]
risposta	3	[respasta, risponsa, risponsa]
costruisco	1	[construisco]
cerimonia	12	[ceremonia, ceremonia, ceremonia, ceremonia, ceremonia, ceremonia, ceremonia, ceremonia, ceremonia, ceremonia, ceremonia, ceremonia]
venerdì	5	[venerdi, venerdi, venerdi, venerdi, venerdi]
corso	1	[curso]
che	21	[ché, que, que, chè, chè, que, que, ché, ce, ce, que, ce, ché, chè, que, que, que, que, que, que, que]
grammatica	1	[gramatica]
cattedrale	1	[cathedrale]
informazioni	1	[informatione]
chi	1	[che]
speciale	2	[speziale, sepciale]
nozze	3	[noce, nocce, noci]
cominceranno	1	[commincera]
chiamerò	1	[chiamero]
settimane	1	[setimane]
abbraccio	11	[abraccio, abbarcio, abbraciati, abbracio, abbracio, abraccio, abraccio, abraccio, abraccio, abracio, abraccio]
ristorante	10	[restaurante, restorante, ristaurante, ristaurante, restaurante, ristorrante, ristaurante, restorante, ristaurante, restaurante]
colleghi	4	[collegi, coleghi, coleghi, collegi]
genitori	1	[genetori]
divertente	1	[diverdente]
aprile	1	[april]
risultato	1	[risoltato]
proverbio	1	[proverbo]
vuoi	14	[voui, voui, voui, voui, voui, voui, voui, vuoì, voi, voi, voi, voi, vofare, voui]
oggigiorno	1	[oggigiorni]
verità	4	[verita, verita, verita, verita]
potrò	6	[potró, potró, potró, potro, potró, portrò]
lavoro	3	[lavoró, lavaro, lavorro]
italiana	2	[itoliana, italianno]
può	9	[puo, puo, puo, puo, puo, puó, puo, puo, puó]
viaggio	1	[viaggo]
finisca	1	[finische]
vorrei	3	[vorei, vorei, voreii]
civiltà	1	[civilta]
informazione	1	[iformatione]
risultati	1	[resultati]
però	11	[peró, peró, peró, pero, peró, pero, pero, perodevi, pero, pero, pero]
conosciuto	3	[conoscuto, conoscuto, conosciutto]
sviluppare	1	[svilluppare]
effettuare	1	[efettuare]
corrispondenti	1	[correspondeli]
rappresenta	1	[rapresenta]
volontà	1	[volonta]
svolgere	1	[svolgiere]
pentita	1	[pendita]
presso	3	[pressa, pesso, preso]
cercheranno	1	[cerceranno]
biblioteca	1	[bibliodeca]
parteciperò	2	[participerò, participerò]
abbracci	2	[abraci, addbracci]
gara	1	[garra]
sicuramente	1	[siccuramente]
conosciuti	1	[connosciuto]
successo	2	[sucesso, sucesso]
posso	1	[poso]
macchina	2	[machina, maccina]
incontro	1	[incostro]
aiuterà	1	[aiuterá]
studenti	2	[studiente, studiente]
cinema	1	[cinama]
anno	1	[ano]
pubblico	1	[publico]
piazza	1	[plazza]
andremo	1	[anderemo]
sette	1	[setti]
lascio	1	[laccio]
