Correction	ErrorFrequency	Errors
kauf	1	[kauft]
warum	1	[worum]
interessant	8	[interesant, ineressant, interssant, interesant, intressant, interesant, intressant, interessand]
neugierig	1	[neugierieg]
besten	1	[bessten]
das	15	[dass, dass, dass, dass, dass, dass, dass, dass, dass, dass, dass, dass, dass, dass, dass]
gute	3	[güte, gutte, gutte]
antworten	2	[antworter, anworten]
ungarischen	1	[ungariche]
übrigens	1	[übrigen]
höchstens	1	[hökstens]
wenig	2	[venig, venig]
während	3	[wahrend, währen, währen]
wollen	1	[wolen]
unseren	2	[useren, usere]
richtigen	1	[rihtige]
präsentieren	2	[presäntieren, presäntieren]
grüße	13	[gürße, größe, gruße, größ, grüeße, grüssen, grüse, groß, gruse, grüze, größe, große, gresß]
darüber	2	[daruber, trüba]
mehr	2	[meher, mhrr]
schriftlich	1	[schriflich]
könnte	2	[könte, könte]
hilfsbereit	1	[hilfsbereich]
praktische	1	[prakticher]
kurze	1	[kurtze]
willst	3	[villst, wilst, wilst]
traditionelle	1	[traditionalle]
spezielle	2	[speziale, speciall]
keineswegs	1	[keinesweg]
alle	1	[alles]
anspruchsvollen	1	[ansprusvollen]
vorgestellt	1	[vorgestelte]
ich	4	[sich, i, chi, ch]
wir	4	[wie, wie, wie, mir]
ersehen	1	[ersähen]
kommunizieren	1	[komunizeren]
küsse	2	[kusen, kusse]
nachweisen	1	[nachweisern]
praktischer	1	[prakticher]
organisieren	1	[organizieren]
wie	13	[w, we, wieget, wieget, wieget, wir, wi, wir, wigets, wi, vie, vigehet, vie]
darauf	2	[dorauf, daruf]
spazieren	7	[spatzieren, spatzieren, sparzieren, spazern, späzieren, schpaziren, spaziergehen]
vermisse	1	[vermese]
liebe	18	[leibe, leibe, libe, libe, libe, libe, libe, liber, libe, libe, liber, biebe, leibe, libe, leibe, leibe, libe, libe]
gesprochenen	1	[gesprochende]
teamfähige	1	[teamfähike]
wäre	2	[were, währe]
unsympathisch	1	[unsympatisch]
jugendlichen	1	[jugenlichen]
berufliche	1	[berüflich]
an	2	[and, am]
niemand	2	[nimanden, nemanden]
umgesiedelt	1	[umgesiedilt]
brauche	6	[brache, brache, braughe, braughe, brache, brache]
eigenständig	1	[eiginständig]
holen	1	[hollen]
übersetzen	1	[ubersetzen]
deinem	1	[dienen]
zurück	11	[zürück, züruck, zurücke, zuruck, zürük, zuruck, zurich, zürck, zürük, zuruck, zuruk]
deinen	7	[dienen, dienen, dienen, diene, dienen, diene, diene]
kostet	1	[kosstet]
enttäuscht	1	[enttäucht]
zusammen	13	[zusemmen, zuzammen, zusamen, zusamen, zusamen, zuzamen, susamen, zusamen, susamen, zusamen, sosammen, zussamen, zussammen]
direkt	1	[direk]
miete	1	[milte]
gefreut	3	[gefruet, gefreuecht, gefroht]
beachten	1	[beacten]
hoffe	14	[hofe, höffe, höfe, hofe, offe, hofe, hofe, hopfe, hofe, hofe, höffe, holfe, höffe, hofe]
bringst	1	[beringst]
einfach	1	[eifach]
realisieren	1	[realizieren]
endlich	2	[entlich, entlich]
lassen	1	[lasen]
dunkel	1	[duker]
gestalten	1	[gestallten]
fahre	2	[farhe, fare]
französisch	6	[franzosisch, franzözich, fränzosisch, franzosisch, fransözisch, fransözisch]
gar	1	[garn]
braucht	1	[brauchts]
teuerste	1	[teurste]
erklären	1	[erkleren]
will	2	[voll, wil]
baldige	1	[bäldige]
gefällt	4	[gefahlt, gefalt, gäfell, gefelt]
überall	1	[oberal]
unternehmen	2	[unternemen, unternemmen]
multikulturellen	1	[multikulturelen]
teuer	2	[teur, teur]
dringend	1	[dringed]
lernen	3	[lehrnen, lernenen, learnen]
französische	1	[französiche]
erläutern	1	[erläuten]
aufhält	1	[aufhällt]
persönlichen	2	[persönameischen, personlichen]
wunderbaren	1	[wünderbaren]
bevorzugt	1	[bevorzügt]
orientalischen	1	[orienalichen]
herzlich	1	[hirzlisch]
russisch	2	[russicsh, rusisch]
integrieren	3	[intigrieren, integriren, intigrieren]
geeignete	1	[geegnite]
tanzen	1	[tansen]
informieren	1	[invormieren]
unterschiedlichen	1	[unterschietliche]
ausländischer	1	[auslandische]
ideal	1	[ideall]
sinnvoll	4	[sinvoll, sinvoll, sinvoll, sinvoll]
treffen	6	[tereffen, tereffen, trefen, trefen, trefen, trefen]
ihm	3	[im, im, in]
ausländischen	1	[auslandischen]
hinfahren	1	[hinfahern]
müssen	1	[mußen]
okay	1	[okey]
ihr	2	[ir, ir]
preis	2	[preiss, pries]
erläutert	1	[erläutet]
streit	1	[streiht]
schon	5	[schön, schön, schön, shon, schön]
aufnehmen	1	[aufhehmen]
religiös	1	[religios]
erfahren	2	[erfaren, erfachren]
mehrstöckigen	1	[mehrstockigen]
interessiert	6	[interesiert, interesiert, interessirt, interesiert, interressiert, interesiert]
internationale	2	[intrnational, internationeler]
dein	3	[diene, diena, deine]
schreckliche	1	[schrekliche]
nein	1	[neien]
intensiv	1	[intinsiv]
selbständig	2	[selb-standig, selbstangig]
hatte	2	[hate, hate]
wunderbare	1	[wunderware]
rentiert	1	[rendiert]
gemütlich	1	[gemutlich]
komplett	1	[komplet]
hoffentlich	2	[höffntlich, höfflich]
freundliche	1	[freudlche]
wünsche	13	[wunsche, wünchen, wüsche, wünche, wunsch, wünche, wunsche, wünche, wunsch, wunsche, wunsche, wüsche, wünche]
gewesen	2	[gewäsen, gewisen]
über	3	[uber, uber, uber]
türkisches	1	[turkische]
bei	1	[bie]
viele	17	[viellen, vile, ville, vile, vile, fiele, ville, vielle, veil, vile, ville, vile, vile, vile, wel, veile, vieb]
gern	1	[genr]
sehen	3	[sehne, sehn, zehe]
stets	1	[stehts]
ins	1	[em]
technisches	1	[techniche]
tut	1	[tud]
aufgewachsen	1	[aufgewachen]
entdecken	1	[endecken]
allein	3	[alein, ellein, alein]
durch	1	[dürch]
reichen	1	[riechen]
vereinbaren	2	[verneinbaren, vereiban]
öffnen	1	[offnen]
abzuschließen	1	[abzuschlißen]
katholischen	1	[katolische]
höre	1	[hörren]
musst	2	[must, muß]
mysteriöse	1	[misterieuse]
gegessen	1	[gegesen]
guten	1	[güt]
froh	2	[fro, fröh]
bleibt	1	[breibe]
insgesamt	1	[in]
beherrschen	3	[beherschen, beherschen, beherschen]
frisst	2	[friest, frißt]
hoffen	1	[höffen]
lese	1	[worlesen]
war	1	[wahr]
anzeige	7	[anziege, anzeiger, anziege, anziege, anziege, anziege, anziege]
jetzt	21	[etzt, etzt, jetz, jetz, jetz, jetz, jezt, jetz, jetz, jetz, jets, jets, jetst, jetz, jetz, jetz, jetz, jetes, jetz, jetz, jezts]
stören	1	[störren]
deswegen	8	[daswegen, desswegen, daswegen, daswegen, daswegen, daswegen, daswegen, daswegen]
willkommen	1	[welkomme]
interessante	1	[interressante]
heute	5	[hute, houte, houte, huete, hute]
gibt	2	[giebt, giebt]
belächelt	1	[gelachelt]
gesprochen	2	[geschprochen, geschprochen]
besonders	3	[besunderes, besonder, besonder]
mündlich	1	[mundlich]
umgezogen	1	[umgesogen]
verschiedene	1	[versiedene]
nächsten	17	[nechste, necksten, nächte, nächte, nachsten, nechst, nechsten, nächten, nächte, nächten, nachste, nästern, nächter, nächten, nächte, neste, näechste]
arbeiten	2	[abreiten, arbite]
danke	1	[dante]
suche	3	[suhe, schuche, schuche]
gehört	2	[gehort, gehort]
persönlich	3	[personlich, persöhnlich, personliche]
lieber	9	[liber, liber, liber, liber, liber, liber, liber, leiber, liber]
nehme	2	[neme, neme]
einstieg	1	[einsteig]
in	1	[wochenede]
hasst	1	[häßt]
offen	1	[ofen]
wohlwollende	1	[wohlwellende]
beweist	1	[beweisst]
beherrsche	2	[behersche, behersche]
beruflich	1	[berüflich]
betrieb	1	[betrib]
vielen	5	[viellen, filen, viel, viellen, fille]
gefunden	2	[gevunden, gefunen]
letzten	1	[letze]
fragen	2	[faren, frgen]
größer	1	[grosser]
akzeptieren	2	[akceptieren, akceptieren]
ungewöhnlich	1	[ungewohnlich]
langsam	1	[langsamm]
gepflegt	1	[gepfligt]
ja	1	[aja]
vergisst	1	[forgesest]
unvergessliche	1	[unvergäsliche]
kein	1	[nich]
großen	1	[grosen]
festgestellt	1	[festgestelt]
fröhlich	1	[frülig]
großem	2	[grossen, größem]
kontinuierlich	1	[koninuierlich]
zukünftigen	4	[zukunftiger, zukunftigen, zukunftigen, zukunftigen]
wunderbar	2	[wonderbae, wonderbar]
genommen	1	[genomen]
anmelden	1	[amnelden]
zukünftiger	1	[zuküntige]
werden	1	[werder]
einzige	1	[einige]
exzellente	1	[excellente]
billiger	1	[biliiger]
verdienen	1	[verdinnen]
standardisiert	1	[standansiert]
großer	4	[grosser, grosser, größer, grobe]
ansonsten	1	[ansonst]
bereuen	1	[bereuhen]
grenzen	1	[gränze]
nachmittags	1	[nachmitag]
empfehlen	1	[empfellen]
fließend	1	[flissend]
europäischen	1	[eurapischen]
schockiert	1	[schokiert]
innerhalb	1	[innerhalbe]
zurückgeflogen	1	[zuruck]
mühe	1	[muhe]
zusammenfassend	2	[zussammenfassend, zusammendfassung]
ist	1	[is]
euren	1	[eueren]
oder	2	[oda, order]
möglich	2	[moglich, moglich]
theoretischen	1	[teoretische]
zusammengesetzt	1	[zusammengestzt]
decke	1	[deke]
aufhören	1	[aufhöfen]
trinken	2	[drinken, driken]
letztes	1	[ltztes]
neue	2	[neun, nue]
zögern	1	[zügern]
freuen	2	[froen, frohen]
schlussendlich	1	[schulusendlich]
interessanten	1	[interesanten]
rasch	1	[rusch]
hier	2	[heir, hir]
lockeren	1	[löckeren]
abwechslungsreiche	1	[abwechlungsreiche]
bekannten	1	[bekanten]
eigenem	1	[eingenem]
gewonnen	1	[gewonen]
ruf	1	[rauf]
selber	3	[selbe, selbe, selbe]
jedenfalls	1	[jedenfall]
teilen	1	[tielen]
letzte	1	[leste]
deine	10	[diene, diene, diene, diene, daine, daine, diene, diene, diene, diene]
nachher	1	[naher]
hoch	1	[hoh]
euch	2	[uech, uech]
eigener	1	[eigner]
bestimmte	1	[bestimtes]
grüß	1	[gruß]
sprachliche	1	[spachliches]
zielstrebige	1	[zeilstrebige]
verkehr	1	[verkar]
gesund	1	[gesuntcheit]
jüngsten	1	[jungsten]
anderen	3	[andaren, amderen, andare]
freien	1	[freue]
ehemaligen	1	[ehemalichen]
länger	1	[länga]
vorstellen	1	[vorstelen]
sonst	3	[sonder, sonnst, sont]
ziehen	2	[ziehn, zeihen]
alten	1	[arbeit]
um	2	[un, fur]
wieder	3	[wiede, weider, wider]
unbefriedigend	1	[unbefridigend]
schließlich	1	[schlieslich]
große	5	[grosse, größe, größe, größe, gruße]
besonderen	2	[besonderten, besondern]
andererseits	3	[anderseits, andereseits, andereseits]
irgendwelchem	1	[ingerdwelche]
gewählt	2	[gewält, gewäht]
bezahle	1	[betzal]
verdiene	2	[verdine, ferdint]
sowohl	3	[sohwohl, sovoll, sowol]
interkultureller	1	[interculturelle]
fortzusetzen	6	[forsetzen, vortzusetzen, forzusetzen, zu, zu, forzusetzen]
dass	57	[das, daß, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, das, daß, daß, das, das, das, das, das, daß, das, das, daß, das, das, das, das, das, das, daß, das, das, daß, das, daß, daß, das, das, das, das, das, das, das, daß, das]
normalerweise	1	[nomaleweise]
schwierig	2	[schwerig, schwerig]
weil	8	[viel, wiel, weill, weill, weill, wiel, wiel, wiel]
fahren	4	[vahren, faren, fharen, faren]
nur	2	[nür, nür]
zentral	1	[central]
beeinflussen	1	[beeinflüssen]
glücklich	4	[glüglich, glüclich, glüklinck, glücklisch]
freundlich	3	[freuntlich, freutlich, freudlisch]
nehmen	1	[mehrem]
mittlerweile	1	[mittelweile]
eigene	1	[eingene]
kennenzulernen	1	[kennen]
pflichten	1	[pflichen]
elsässisch	1	[alsäsich]
wiegt	1	[wigt]
brav	1	[braf]
aufpassen	2	[aufpasen, aufpasen]
fünfzehn	1	[funfzehn]
welche	2	[welsche, welchte]
reservieren	1	[riserviren]
muss	11	[muß, muß, muß, muß, muß, muß, muß, muß, muß, muß, muß]
malaysisch	1	[maleysisch]
zurzeit	1	[zuzeit]
gefeiert	1	[gefaiert]
alles	5	[alls, alless, alls, ales, alesclar]
wegen	1	[vegen]
europäisch	1	[europisch]
erwachsenen	1	[erwarsene]
gefallen	2	[gefalen, gefällen]
waren	1	[warn]
alleine	4	[alliene, aleine, aleine, alliene]
klar	1	[clan]
außerdem	4	[auser, auserdem, ausserdem, ausserdem]
junge	1	[junde]
wohnt	1	[wonnen]
erinnern	1	[erinneren]
verbleibe	1	[verbliebe]
ohne	1	[ohnu]
weniger	1	[venniger]
heutzutage	3	[heuzutage, heuzutage, heutzuge]
freundlichen	14	[frundlichen, frendlichen, froindlichen, freundilichen, freundlihe, vrondichen, freindlichen, frenndlichen, freundlile, freundlinen, froidlihen, fröndlischen, freundlinchen, freundlischen]
freundlichem	2	[fruendlech, frundlaich]
ruhig	1	[rühig]
bereits	1	[beriet]
wohne	1	[wochne]
profitieren	1	[profiteren]
bleiben	2	[blieben, blieben]
rechte	1	[reche]
chinesisch	1	[chinesich]
vielleicht	20	[villeicht, fielleicht, velleicht, vileicht, vieleich, vieleicht, veilleicht, vielleich, villeicht, velleicht, vieleicht, vieleicht, villeicht, vielleich, vielleich, vielliecht, wieleicht, vielleich, velleicht, vielleich]
fünfzig	1	[funfzig]
fortsetzt	1	[forzusetzen]
vögel	1	[fögel]
folgender	1	[volgenden]
benutzen	2	[benuzen, benuzen]
folgendes	1	[vollgendes]
gemacht	1	[gamacht]
hattest	1	[hatest]
sehr	18	[seher, seh, seh, seh, seh, seehr, seehr, seher, ser, serh, gluchlich, ser, sher, sher, seer, zeher, seehr, seehr]
schlimmste	1	[schlimste]
schenken	1	[shekin]
familiäre	1	[familiere]
ihrer	2	[ihner, ire]
helfen	2	[hilfen, hilfe]
dieser	3	[desen, disem, dise]
dieses	1	[dises]
letztens	1	[letzens]
überzeugt	1	[uberzeug]
sparen	1	[spraren]
inklusive	1	[inklusiv]
versicherte	1	[versiecherte]
wechseln	1	[wecseln]
sonntags	1	[sontags]
besuche	2	[bisüche, besoche]
arbeite	3	[abreite, arbaite, arbetet]
arabischen	1	[arbischen]
süße	1	[süsse]
theoretisches	1	[theoretishe]
denn	3	[den, den, den]
erinnere	1	[erinerre]
orientieren	1	[orentieren]
geschäftlich	1	[beschäftlich]
süßen	1	[süsse]
wirklich	1	[wirdklich]
seinen	1	[seien]
männlich	2	[meinlich, mannlich]
wünschst	1	[wünhst]
vollkommen	1	[vollkomrechts]
seit	1	[zeit]
weiß	8	[weiss, weiss, weiss, weiss, weis, weis, weis, weis]
wohnen	4	[wonnen, wohen, wöhnen, won]
ihnen	6	[inhen, ihen, ihrene, ihen, hinnen, ihren]
ordentlich	1	[ordenlich]
können	4	[könen, könen, könenn, könenn]
meines	1	[meins]
weißt	9	[weißst, wiest, weisst, weiss, weist, weist, weist, weist, wißt]
schule	1	[schuhle]
komischerweise	1	[kömischeweiser]
sein	1	[seain]
solltet	1	[sollter]
meinen	1	[menem]
fortsetzen	2	[vortsetzen, forzusetzen]
kommen	1	[komenn]
diesem	1	[diesemn]
gesehen	1	[geseen]
zurückschreibst	1	[zürück]
herzlichen	2	[hertzlich, hezlichen]
diesen	1	[diser]
pro	1	[fur]
sieht	1	[zieht]
könntest	1	[könnst]
erstens	1	[ertens]
stellen	1	[stelen]
eigentlich	3	[eintlich, eingentlich, eingentlisch]
nächste	9	[nacheste, nachte, nechst, nechste, nechste, nechste, nexte, nexte, nexte]
wandern	1	[bandern]
direkte	1	[dirrekte]
löst	1	[lösst]
dank	2	[danke, dak]
gehen	1	[gehee]
möchtest	1	[möchtst]
wenn	17	[wen, wen, senn, wen, wen, wen, wen, wen, wen, wen, wen, wen, wen, wendu, wen, wen, wen]
trotzdem	3	[trozdem, trotztdem, trozdem]
weitermachen	1	[weitermacher]
faszinierende	1	[fazienierende]
schönen	2	[schon, schun]
bitte	3	[biette, bitt, bytte]
schönem	1	[schone]
vermieten	1	[vermeiten]
schönes	3	[schones, schones, schone]
öffentlichen	3	[offentlichen, offentlichen, öffentlideverkehrsmittels]
seitdem	1	[seit]
bahn	1	[bhan]
zimmer	2	[zimer, zimer]
uns	3	[ums, unz, un]
grüßen	9	[grüssen, grüssen, grüssen, grüssen, grüssen, grüsen, großen, große, grüsen]
für	15	[fur, fur, fur, fur, fur, fur, fur, fur, fur, fur, fur, fur, fur, fur, for]
integriert	2	[intigriert, intigriert]
gewiss	1	[gewiß]
unbedingt	2	[unbedigt, unbeding]
besuchen	3	[besuschen, bechuchen, besuhen]
erlernt	1	[erlenen]
schnell	1	[schell]
zuverlässig	2	[zuferlesig, zuverlessig]
bisschen	10	[bischen, bischje, bischen, bischen, bischen, bischen, bisshen, bischen, bischen, bisen]
regelmäßig	2	[reglemäßig, regelmessig]
und	9	[un, unzwar, unde, un, underer, un, ung, un, un]
freund	3	[frend, froind, freind]
geträumt	1	[getreumt]
recherchieren	1	[rechancieren]
übersteigen	1	[ubersteigen]
generell	2	[general, generel]
konntest	1	[kontest]
erstaunlich	1	[erstauntlich]
ausdrücken	1	[ausdurücken]
brauchen	3	[brachen, brachen, brachen]
ändern	1	[endern]
nach	3	[noch, fur, noch]
kümmert	2	[kummert, kummert]
der	2	[de, de]
unterschreiben	1	[unterstreiben]
kontaktfreudige	1	[kontaktfreuidige]
wann	3	[wan, wenn, wan]
kümmern	7	[kummern, kummern, kummerte, kummern, kommern, kummern, kummern]
positiv	1	[possitive]
wollte	9	[wolte, wolte, wollt, vollte, wolte, wolte, wolte, wolte, wolte]
ganz	2	[gans, gaz]
schick	1	[schik]
habe	2	[hbae, have]
miteinander	1	[mit]
gekriegt	1	[gekrigt]
allergisch	1	[allergich]
den	2	[bie, dar]
beschweren	1	[beschwehren]
tolle	1	[tool]
auch	2	[ach, aauch]
unvermeidlich	1	[unvermeindlich]
kann	2	[kamm, kan]
rufe	1	[ruffe]
mir	6	[mit, mit, mier, mia, mier, nich]
umziehen	2	[unziehen, umzehen]
diese	1	[dise]
erzählt	1	[erzehlt]
gut	1	[gug]
bald	1	[balld]
mit	7	[mim, mir, mitt, mitt, mitt, mitt, mitt]
beantworten	1	[benantworten]
bezahlen	3	[bezalen, besahlen, bezhalen]
leider	4	[leide, lieder, leide, ledier]
vergessen	4	[vergesen, vergesen, fergesen, bergessen]
heiße	1	[hieße]
kennenlernen	3	[kenne, kennelernen, kennelernen]
noch	1	[nach]
wahrscheinlich	1	[wharscheinlich]
kannst	12	[kanst, kanst, kanst, kanst, kammst, kanst, kanst, kanst, kanst, kännst, kanst, kanst]
erarbeiten	1	[erbreiten]
schön	7	[schon, schon, schun, shön, shon, schon, schun]
schreib	3	[schreipt, ashraiben, schneib]
erzähle	1	[azelen]
entweder	1	[etweder]
tatsächlich	1	[tratsächlich]
geschrieben	2	[geschreiben, geschriben]
fünf	1	[funf]
schöne	5	[schone, schone, shöne, söine, schne]
feiern	3	[feien, feiren, faien]
natürlich	8	[naturlich, naturlich, naturlich, närulich, naturlich, naturlich, naturlich, näturlich]
erfolgreiche	1	[erforgleicher]
freut	1	[fruet]
nicht	14	[nich, nich, nich, nich, nich, nich, nciht, nich, nich, nich, nich, nich, nich, nich]
kostenlos	1	[kostenloss]
strahlende	1	[stralende]
möglichst	2	[moglichst, möglichs]
besteht	1	[bestet]
telefonisch	1	[telefonich]
existierten	1	[exestierte]
zuverlässige	1	[zuverläsige]
obwohl	1	[obwol]
heißt	7	[heisst, heisst, hist, hist, hist, heisen, heist]
schlesische	1	[slesische]
freue	5	[freuch, fröumich, frohe, frohe, frue]
passiert	1	[passiet]
unsere	1	[undseren]
rechtliche	1	[richtliche]
geboren	1	[geworen]
bezahlt	1	[bezaht]
nahe	1	[neh]
günstig	1	[günstiga]
angepasst	1	[angepast]
vorbereitet	2	[vorbereitat, vorberaitet]
deutsch	2	[deutsh, dutsch]
dennoch	1	[denoch]
teure	2	[teuere, teuere]
bekommen	5	[beckommen, beckommen, beckomen, bekomen, becommen]
empfehle	4	[emfehle, empfelle, empfelle, empfele]
stammt	1	[stamt]
schickt	1	[schinkt]
gratulieren	1	[gradulieren]
überweisen	1	[überwiesen]
künstlichen	1	[künstlische]
auftretende	1	[auftrende]
minderjährigen	1	[minderjahrige]
vielfältige	1	[vielfälltige]
langjährige	1	[langjehrige]
gültig	1	[güsting]
gesetzlichen	1	[gezetsliche]
schicke	1	[shicke]
spreche	1	[spresche]
tschüss	8	[tschuch, tschuss, tscüss, tschuss, tschuss, tschüse, tschuss, tschuß]
duschen	1	[dushen]
fliege	1	[flige]
ehrlich	1	[ehlich]
sind	1	[habem]
deutschsprachige	1	[deutsch-sprächige]
befinden	1	[befindt]
gestrichen	1	[geschtrichen]
geehrte	25	[geeharter, geeherte, geheerte, geherte, geeherte, gehrten, geheerte, geerte, geherte, geerte, geerte, geeherter, geehte, geeherte, geerte, gehtter, geheert, geerte, geerhte, geerhte, geerhte, gerrhte, geehte, geheerte, geehert]
schwer	2	[schwehr, schwehr]
dritten	1	[dreter]
verzichten	2	[vezichten, verziechten]
neunzehnten	1	[neuenzehnten]
hören	2	[horen, horen]
pünktlich	2	[puntlich, punktlich]
ein	8	[einbischen, einbischen, einbischen, einbischen, einbischen, ien, aien, ain]
mindestens	2	[mindesten, mindesten]
sprechen	1	[english]
fertig	1	[vertig]
haben	1	[hoben]
geführt	1	[gefuhrt]
fit	1	[fitt]
bestimmten	1	[bestimmteten]
von	1	[fon]
dir	10	[dier, dier, die, disch, die, die, die, die, dier, dier]
fliegen	1	[flugen]
vor	2	[foher, uber]
zurückschreiben	1	[züruck]
die	2	[di, di]
läuft	1	[leuft]
türkische	1	[türkiche]
römischen	1	[römaische]
anbieten	1	[anbietten]
dich	1	[disch]
verläuft	2	[verlaüft, verlauft]
günstigem	1	[gunstig]
frisch	1	[frish]
verschiedenes	1	[verschidene]
günstiger	1	[gunstiger]
schritt	1	[schrit]
durchgeführten	1	[durchgefuhrtene]
erzähl	1	[erzhalt]
verschiedenen	1	[verschidene]
entschieden	1	[enschieden]
praktizieren	1	[practisieren]
krank	1	[krang]
entsprechen	2	[etsprechen, entschprechen]
schlesischen	1	[schlesichen]
wissen	4	[wiessen, wisen, wiessen, wiessen]
gründlich	1	[grunglich]
aufmerksam	1	[aufmerksamm]
spanisch	1	[spanish]
auf	1	[auwiedehören]
möchte	7	[mächte, möschte, möschte, mächte, mächte, moschte, möche]
bevor	1	[bevore]
