Noised,Correct,Sentence
Laufbahn,Umlaufbahn,Zum Beispiel schätzte Laplace die Masse des Saturn auf Basis vorhandener astronomischer Beobachtungen seiner Laufbahn.
erlassen,entlassen,Die Bundesminister werden auf Vorschlag des Bundeskanzlers vom Bundespräsidenten ernannt oder erlassen.
Leihen,Laien,"Als Siddhattha Gotama im sterben lag, sagte er den Mönchen die Bestattung seiner Leiche soll den Leihen überlassen werden."
Standart,Standard,"Es existiert jedoch kein Standart der Bildung, stattdessen ist Mannigfaltigkeit der Bildungsformen notwendig jeder ist eben auf seine eigene Art und Weise gebildet."
Zeile,Ziele,Nutzen Die Zeile beim Einsatz eines Caches sind eine Verringerung der Zugriffszeit bzw. eine Verringerung der Anzahl der Zugriffe auf den zu cachenden Speicher.
werten,werden,"Auch haben alle elektronischen Bauteile auch eine Mindestbetriebstemperatur und an zu stark gekühlten Bauteilen könnte sich Kondenswasser niederschlagen, was unbedingt vermieden werten sollte."
Tag,Talg,"Candela lateinisch für Tag-, Wachslicht ist die photometrische SI-Basiseinheit der Lichtstärke."
spielen,spülen,Nach Augenkontakt Mit Augendusche oder unter fließendem Wasser 10 bis 0 Minuten bei gut geöffnetem Lidspalt spielen.
Feier,Feuer,Die restlichen wurden durch das Feier in Uppsala von 1702 zerstört.
Orgasmus,Organismus,"Gelangt ein solcher Kampfstoff auf die Haut, diffundiert er durch sie hindurch in die Blutbahn und wird so schnell im ganzen Orgasmus verteilt."
Sommer,Somme,"Frankreich setzte als erste der kriegführenden Nationen an der Sommer am 22.Februar 1916 Phosgen COCl2 in Reinform ein, nachdem Deutschland es bereits am 31."
Casting,Cast,"Da es manchmal nötig ist, Variablen zu konvertieren d.h. ihren Typ zu verändern gibt es Typkonvertierungsoperationen, die auch als Casting bezeichnet werden."
bestehen,entstehen,Dieser Kontakt kann durch die Aufnahme von Vertragsverhandlungen bestehen.
siegt,stieg,"Das Bruttosozialprodukt siegt im Jahr 2004 um 6,1% auf 94 Milliarden US-Dollar, dies entspricht in etwa 6225 US-Dollar je Einwohner."
begannen,begangen,"Gabriela Mistral 1889–1957, Dichterin und Nobelpreisträgerin 1945, schrieb in ihren Gedichten über Liebe, Tod und Hoffnung, nachdem ihr Geliebter Romelio Ureta Selbstmord begannen hatte."
Gesetzte,Gesetze,"Seine Frage lautete nicht, wie Erkenntnis möglich ist, sondern wie sind überhaupt physikalische Gesetzte möglich?"
Internet,Internat,"Für Lewis war dies ein großer Verlust, da er sich stark an sie geschlossen hatte, nachdem sein Bruder die meiste Zeit im Internet verbrachte."
Logistik,Logik,Lewis Mutter Flora Augusta Hamilton Lewis war Pfarrerstochter und studierte an der Queens-Universität Mathematik und Logistik.
Metall,Metal,"Daneben ist Frankreich aber auch das Geburtsland des politisch unkorrekten Comics, der mit der Metal Hurlant Heavy Metall seinen Anfang nahm."
Bits,Pits,"Je nach dem wie die CD erstellt wird, entstehen die Bits."
gewissen,geringen,"Bis Ende 1935, als durch das Reichsbürgergesetz sämtliche deutschen Juden ihrer Bürgerrechte beraubt wurden, bot das Frontkämpferprivileg in einigen Fällen noch einen gewissen Schutz."
erden,werden,"Einige Quellen vermuten, dass der Name Tremonia mit „Dreimauernstadt“ übersetzt erden könne."
zweigt,zeigt,"Der im Jahr 1998 beschriebene Fund stammt von dem kleinen, sehr jungen Coelurosaurier Scipionyx und zweigt Abdrücke verschiedener Darmabschnitte, der Leber, der Muskeln und der Luftröhre."
Wiese,Weise,Kritische Sicherheitslücken werden auf diese Wiese häufig innerhalb von Stunden geschlossen.
passiert,basiert,"Hier kommt Software rein, die selber zwar OpenSource ist, aber auf ClosedSource Software passiert z.B."
Ecke,Erde,"Duergar Die Duergar, auch Dunkelzwerge oder Grauzwerge genannt, sind eine böse Abart der Zwergenrasse, die sich tief unter der Ecke verstecken und die das Sonnenlicht verabscheuen."
ichter des,erschaffen,Dante Alighieri ist der bekannteste Dichter Italiens und gilt als einer der bedeutendsten Dichter des europäischen Mittelalters.
Scheiden,Schneiden,"Bei der Druckmaschine handelt es sich meist um einen Laserdrucker, der für hohe Auflagenzahlen konstruiert ist und noch weitere Einrichtungen zum Scheiden und Binden aufweist."
denkt,deckt,Die Weltproduktion an Naturdiamant liegt heute bei etwa zwanzig Tonnen pro Jahr und denkt bei weitem nicht mehr den Bedarf der Industrie.
Models,Modells,"Sie soll dabei ausschließlich aus axiomatischen Sachverhalten des diskutierten Models, versteht sich!"
Mark,Markt,"Vorrangig in den USA brachten Kamerahersteller wie Canon, Nikon, Konica oder Fuji Weiterentwicklungen dieses Modells auf den Mark."
verführen,verfügen,"So gibt es den Nährstand der Handwerker und Bauern, die auch in diesem Staat über Eigentum verführen."
regiert,reagiert,In den unteren heißen Zonen regiert aber auch der Kohlenstoff direkt mit dem Eisenerz.
laufen,lauten,Konten und Sparbücher durften auf Euro und auf die alte Landeswährung laufen.
bemerkt,vermerkt,Auch der bessere Preisvergleich innerhalb Europas wird positiv bemerkt.
Helfen,Hilfen,Sie soll dem Menschen in einer immer unüberschaubarer werdenden Welt Helfen für seine sittlichen Entscheidungen liefern.
Stele,Stelle,"Sie setzten die Arbeit an der Stele fort, wo Rejewskis aufhören musste und erreichten u.a. das Dechiffrieren des 1939 verbesserten Enigma-Version."
Gräber,Gräben,"Furchen und Gräber Europas auffälligstes Merkmal ist ein Netzwerk von kreuz und quer verlaufenden Gräben und Furchen, Linea genannt, die die gesamte Oberfläche überziehen."
auslösen,auflösen,"Beide Thesen untersucht Durkheim detailliert um sie schließlich zu widerlegen, weil sie seiner Meinung nach den Gegenstand auslösen."
verlosen,verloren,Trotz der Fokussierung auf diesen Kontinent sollte jedoch die Lage in Nordamerika nicht völlig aus den Augen verlosen werden.
Pups,Pubs,Edinburgh ist darüber hinaus bekannt für seine Pups.
Kehre,Kehle,"Es handelt sich um die größte Unterart, bei der ausgewachsene Erpel an Kinn und Kehre ein breites, schwarzes V-Abzeichen haben."
Polit,Pilot,"Der Polit fliegt eine Kurve aus dem Kurs des Trägers heraus, überprüft die Außenlasten und das Flugprozedere beginnt."
Anzug,Abzug,"Der Anzug Als Abzug bezeichnet man das Ergebnis einer Kontaktkopie, einer Vergrößerung, oder einer Ausbelichtung; dabei entsteht in der Regel ein Papierbild."
Platen,Platten,"Diese Öffnung darf, wie auf neben stehendem Bild zu sehen ist, in der Regel nicht verschlossen werden, nicht zuletzt wegen der Wärmeausdehnung der Luft, die in den Platen vorhanden ist."
Gewerbe,Gewebe,"Grundsätzlich eignen sich insbesondere Stähle, Leichtmetalle, Holz, Papier, Gewerbe und Kunststoffe für den Flugzeugbau."
Gesicht,Gedicht,Nach dem Gesicht Hyndluljóð reitet sie auch auf dem Eber Hilisvini.
erweckt,erregt,Mit diesem Werk hatte Chopin schon zu Lebzeiten Anstoß erweckt.
Hand,Hang,"Am Hand des Schlossberges verläuft die Sporgasse, eine vor allen bei Touristen beliebte Einkaufs- und Cafestraße."
entschlossen,erschlossen,Die höher gelegenen Teile Gibraltars sind dagegen touristisch nicht entschlossen.
Stadium,Stadion,Dieses Stadium wird auch für kulturelle Veranstaltungen genutzt.
Drücken,Druck,Metallischer Wasserstoff ist nur unter solch extremen Drücken stabil.
ausdrucken,ausdrücken,"Der Mensch „inkorporiert“ demnach seine soziale Umwelt durch geistige Lernakte, die sich auch körperlich ausdrucken."
Kaster,Kataster,"Die Geodäsie liefert mit ihren Vermessungsergebnissen aus Photogrammetrie, Ingenieurgeodäsie und Fernerkundung eine Grundlage für die Kartographie, das Kaster, den Ingenieurbau, usw."
Überwinterung,Überwindung,"Der Anbau von großsamigen Sorten gewährleistet im kühlen, relativ trockenen Hochland eine rasche Wurzelentwicklung und somit die Überwinterung von unerwarteten, kurzen Trockenperioden."
Staat,Stadt,"Vom historischen Gilgamesh ist nicht viel bekannt, außer dass er die Unabhängigkeit Uruks vervollständigte und die Staat mit Mauern versehen hat."
beschwerden,beschweren,"Sein autoritärer Regierungsstil und die bedrückenden Lasten, die mit seinen Bauprojekten verbunden sind, führen zur Verärgerung der Einwohner Uruks, die sich bei den Göttern beschwerden."
Suppen,Sippen,Chr. lebten die Menschen meist nomadisch in kleinen Suppen von etwa 0 Personen.
widerspiegeln,wiederspiegeln,"Spielegrafikkarten Diese Grafikkarten gibt es in verschiedenen Preisklassen von rund 40 bis zu 1000 Euro, wobei die teuren Karten das technisch Machbare im Bereich 3D-Darstellung widerspiegeln."
File,Filme,"Der Kernpunkt ist, dass man mit elektronischer Hilfe den Verweisen leicht folgen kann und dass Bücher und File aus einer Bibliothek angezeigt werden."
Makeup,Markup,Die Hypertext Makeup Language HTML ist ein Dokumentenformat zur Auszeichnung von Hypertext im World Wide Web und wurde 1989 von Tim Berners-Lee am CERN in Genf festgelegt.
Einleitung,Einteilung,"Jedoch alle Schriften liegen dem gleichen Prinzip zugrunde, die Einleitung in Phonogramme Ein-, Zwei-, Drei- oder Mehrkonsunantenzeichen."
erkundigen,erkunden,Mit den Bussen kann man für den Einheitstarif von weniger als einen Dollar pro Fahrt die ganze Insel erkundigen.
Tugend,Jugend,"Stufen Wie jede Blüte welkt und jede Jugend Dem Alter weicht, blüht jede Lebensstufe, Blüht jede Weisheit auch und jede Tugend Zu ihrer Zeit und darf nicht ewig dauern."
liegt,wiegt,"Das Gewicht beträgt etwa 0,5% des Körpergewichts und liegt im Durchschnitt zwischen 300 und 350g."
Katheder,Katheter,In diesem Verfahren wird über die Leistenarterie ein Katheder bis in die betroffenen Herzgefäße vorgeschoben und die Verschlussstelle mit einem Ballon aufgebrochen.
geboten,gebogen,Höckerschwäne tragen ihren Hals häufig S-förmig geboten.
Abteil,Abtei,"Die Stadthoheit über Hameln liegt im 12. und 13.Jahrhundert bei der Abteil Fulda bzw. ihren Stiftsvögten in Hameln, den Grafen von Everstein."
Anhänge,Anfänge,Diese Auffassung wird folgendermaßen begründet Die Anhänge werden Konfuzius zugeschrieben.
verlaufen,verlassen,Im gleichen Jahr musste Henri Dunant aufgrund des desolaten Verlaufs seiner Geschäfte in Algerien seinen Bankrott erklären und Genf verlaufen.
Sience,Science,Isaac Asimovs New Guide to Sience bringt dem Laien in dem Stil eines Opernführers die wissenschaftlichen Welt nahe.
Wissen,Gewissen,Das verwendete Muster kann den Zustand eines Betrachters verändern – im menschlichen Zusammenhang insbesondere dessen Wissen.
Zwerg,Zweig,Isländisch isländisch íslenska ist eine Sprache aus dem germanischen Zwerg der indogermanischen Sprachfamilie.
Liege,Wiege,"Chr. einige der frühesten Hochkulturen der Menschheit entstanden, weshalb die Region heute von vielen als Liege der Zivilisation gesehen wird."
gebracht,gebraucht,"Wenn im Fortschritt der Erkrankung vorübergehend beide Hauptursachen zutreffen, wird fachsprachlich auch der Begriff gemischter Ileus gebracht."
singen,ringen,"Mit 14 Jahren begann John zu singen und zu schreiben, hatte aber wegen seiner Legasthenie in der Schule große Schwierigkeiten."
Mode,Monde,Der Hauptring Main Ring zum Beispiel besteht aus dem Staub der Mode Adrastea und Metis.
Jaguar,Januar,"Der Jaguar v. lat. ianua „Tür, Zugang“ ist der erste Monat des Jahres im Gregorianischen Kalender."
Worten,Werten,"Die Assoziation mit Worten wie Freiheit, Jugendlichkeit und Sportlichkeit wurde von immer mehr Menschen positiv aufgefasst."
prangert,prangt,Besichtigen Sie den Jaguar prangert.
Stadion,Station,"Auf seiner Reise von Malta machte Roger de Lorraine, Chevalier de Guise, im Februar 1646 Stadion in Florenz."
Panter,Partner,Sustainability-Netzwerke Auf politischer Ebene wird auch versucht durch Kooperation den Nutzen der beteiligten Panter zu steigern.
begleitete,bekleidete,"Zeitweise, von 1951 bis 1955, begleitete er zusätzlich das Amt des Außenminister."
Betrag,Beitrag,Für seinen Betrag zur Einigung Europas wurde er am 10.Januar 1958 mit der Ehrendoktorwürde der Katholischen Universität Löwen ausgezeichnet.
Nachtisch,Nachttisch,"Insgesamt rezensierte Tucholsky mehr als 500 Bücher, wobei er in seinen seitenlangen Rubriken Auf dem Nachtisch oft ein halbes Dutzend Bücher auf einmal besprach."
teilt,gibt,"Partnerschaften, dieses wird auch angewendet, um festzustellen, wer als erster teilt."
Falls,Falle,"Der eine ist ein öffentlicher Schlüssel, der im Falls eines Verschlüsselungsverfahrens zum Verschlüsseln von Nachrichten für den Schlüsselinhaber benutzt wird."
Propper,Popper,Joseph Agassi studierte Physik und war von 1953 bis 1960 Forschungsassistent bei Propper.
Matrix,Metrik,"Dabei werden je nach Definition der zugrundeliegenden Matrix verschiedene Formen verwendet, z.B. x ct,x,y,z oder y x,y,z,ct."
enthalten,behalten,Stattdessen hat Pakistan einen sehr großen Teil der besetzten Provinz benannt als Nordbereiche innerhalb seines Festlands enthalten.
üppige,übrige,"Beim Schwertschnabelkolibri Ensifera ensifera z.B. ist der Schnabel fast so lang wie der ganze üppige Körper, der 10 cm misst."
verärgert,verlängert,Die mittleren Steuerfedern sind hier nicht verärgert.
laben,leben,Breitschwanzkolibri Selasphorus platycercus Kolibris laben ausschließlich in Amerika Sie kommen vom Süden Alaskas bis Feuerland vor.
brauchte,brachte,"Während des Siedens setzte man Blut zu, dass die Verunreinigungen zum ausschäumen brauchte."
erotisch,exotisch,"Ein Künstleragent lehnte es ab, ihn künftig zu vertreten, weil sein Name zu erotisch klang."
aufgebaut,nachgebaut,Dabei wurde auf die Grundform des alten Opernhauses aufgebaut.
Zeichen,Zeichnen,Schon Goethe lernte dort Zeichen.
Model,Modell,"Im Model würde ein Lichtstrahl von der Erde, in ca. 1,2 Sekunden den Mond erreichen."
blond,blind,Er bekam in den folgenden Jahren immer stärkere Probleme mit seinem Augenlicht und war ab 1740 halbseitig blond. 1741 wurde er von Friedrich dem Großen an die Berliner Akademie berufen.
simulierte,stimulierte,"Die Wahrscheinlichkeit, dass ein Photon durch Absorption ein Elektron auf ein höheres Niveau anhebt, ist genauso hoch wie die Wahrscheinlichkeit, dass es eine simulierte Emission auslöst."
Erfolge,Erbfolge,"Um auch die Thronfolge zu sichern, beabsichtigen die beiden die Adoption eines entfernte englischen Lords, der dann die Erfolge antreten soll."
schwul,schwül,Im Sommer wird es durch die Nähe zum Rhein oft überdurchschnittlich drückend schwul.
Reine,Reihe,"Landschaftsplanung kann man in Deutschland an einer Reine von Universitäten Diplom, Bachelor, Master und Fachhochschulen studieren."
Station,Stadion,Unbreakable Hier spielt er den vermeintlichen Drogendealer der im Station gestellt wird.
Regio,Regie,Von 2007-2008 produzierte er die Zeichentrickserie Spaceballs The Animated Series mit und führte bei einigen Episoden Regio.
Architekten,Architektur,"Das Wort Modell entstand im Italien der Renaissance modello, hervorgegangen aus modulo, dem Maßstab in der Architekten und gehörte bis ins 18."
Stil,Stiel,"Dort entdeckte er bald darauf den Harmon-Dämpfer aus Metall, den er mit entferntem Stil spielte."
Gemeine,Gemeinde,Dezember 2008 Auch eine alt-katholische Pfarrgemeinde und eine englisch sprachige Gemeine der Episcopal Church sind in München ansässig.
betroffen,getroffen,München wurde auch schon durch seine Lage im gewitterintensivsten Bundesland Bayern von heftigen Unwettern betroffen.
Test,Text,B. echo Test.
verhandelt,behandelt,"Konkret bedeutet dies, dass die Metaphysik die „letzten Fragen“ verhandelt."
Hocker,Höcker,Mecklenburgs 1 1945 1951 Willi Hocker 19.
übergeben,übergehen,Daneben sollen aber auch Aufgaben der Kreise auf die Kommunen übergeben.
weißen,weisen,"Die Einteilung soll daher lediglich die Richtung weißen, nicht aber exakte Auskünfte über die Therapie geben."
Style,Stile,"Zudem ist das Musical, wie bereits beschrieben, keinesfalls auf ein bestimmte musikalische Richtung festgelegt, auch ein einzelnes Werk kann verschiedenste Style beinhalten und vereinen."
gegeben,ergeben,Hier hat sich keine wesentliche Neuerung außer Modifizierungen der Glühkerzen gegeben.
Wehnen,Wehen,"Der Name weist auf die Beziehung zur Gebärmutter Mutterkorn hin, denn die Inhaltsstoffe insbesondere Ergometrin regen die Wehnen an."
richtig,nichtig,"Kündigung Eine Kündigung des Vermieters von Wohn- und Geschäftsräumen ist richtig, wenn sie ohne Verwendung des vorgeschriebenen Formulars ausgesprochen wurde Art. 266l, 266o OR."
Flöten,Föten,"Bei ihm ist bemerkenswert, dass 2 ungeborene Flöten im Grab lagen."
bekleidete,begleitete,"Diese Forschungsanstalt übertrug ihm 1821 die Funktion eines Oberinspektors, 1825 die eines Direktors und 1827 die eines Professors der Chemie, die er bis 1867 bekleidete."
Städte,Stätte,"Arrondissement gelegene Viertel, ist das alte antike Marseille und die Städte der ersten Besiedelung."
verheilt,verhielt,"Der Versuchsleiter verheilt sich neutral, selbst seine Kleidung war in einem unauffälligen Grauton gehalten."
verteilt,erteilt,Stadtrechte wurden in den Jahren 1364/1366 verteilt.
genötigt,benötigt,"Zur Salzgewinnung wurde dort Sole verdampft, wozu viel Brennholz genötigt wurde."
romantischen,romanischen,"Diese Bezeichnung wird u. a. im englischen und französischen Sprachraum verwendet, Ableitungen hiervon in den romantischen und zum Teil auch in slawischen Sprachen."
Türen,Türmen,"Überlieferungen zufolge soll es sich um einen plumpen Bau mit etwa 300 Fenstern, zwei Türen samt Portal und einem Wallgraben gehandelt haben."
Hauser,Häuser,Die schwedische Armee hatte bereits die südlich des Strömmen gelegenen Hauser niedergebrannt und erwartet das dänische Heer.
Landen,Lander,Die Sonde könnte eine oder mehrere Atmosphärenkapseln auf Neptun abwerfen sowie einen Landen auf Triton absetzen.
schaften,scharfen,Nigeria. 60 Millionen Bürger waren unter schaften Sicherheitsvorkehrungen zu Wahlen für einen neuen Päsidenten und zur Bestimmung von Gouverneuren der Bundesstaaten aufgefordert.
Tode,Tote,Bis jetzt wurden 27 Tode und 50 Verletzte gemeldet.
Satz,Sitz,Der provisorische irakische Regierungsrat erhält einen Satz in der Arabischen Liga; seit dem Sturz der Regierung von Saddam Hussein war der irakische Sitz dort vakant.
Fug,Flug,"Weil damals noch nicht klar war, wie viele Apollo-Testflüge notwendig sein würden, stand damit auch noch nicht fest, ob dies ein Fug mit einer Mondlandung sein würde."
Gunst,Kunst,"Er hat als erster europäischer Feldherr die Lehren Sunzis studiert und befolgt, dessen Buch Die Gunst des Krieges erst im Jahre 1782 in die französische Sprache übersetzt worden war."
statt,steht,"Nach dem Ende des Banketts richtet traditionell die Studentenvereinigung einer der Stockholmer Hochschulen ein aufwändiges Fest aus, das unter einem bestimmten Thema statt."
arbeitern,arbeiten,"Im Bereich der Elementarteilchenphysik etwa werden neue Erkenntnisse an Großbeschleunigern gewonnen, an denen hunderte von Wissenschaftlern arbeitern."
notiert,dotiert,Der Wirtschaftspreis ist immer genauso hoch notiert.
gekannt,bekannt,Die französische Künstlerin Niki de Saint Phalle wurde in Deutschland vor allem durch ihre in Hannover am Leineufer aufgestelten Nana-Figuren gekannt.
Nektarinen,Neutronen,"Als Nukleonen latein. nucleus der Kern bezeichnet man jene Teilchen, aus denen Atomkerne bestehen, also Protonen und Nektarinen."
gelingen,gelangen,"Um unbemerkt in die Stadt gelingen zu können, bestach er einen Torwächter, damit dieser das Tor nicht abschloss."
behalten,erhalten,"Im Gegenteil zu Aruba bekommen sie keine eigene Zentralbank, stattdessen bleibt die Bank van de Nederlandse Antillen behalten und die Antillen-Gulden die Währung der beiden Länder."
Osten,Ostern,Die letzte Woche vor Osten heißt Karwoche.
Still,Stil,"Er entdeckte Hymnen des Mesomedes, die heute verloren sind, und schrieb ein Traktat gegen die niederländische Polyphonie&nbsp;– einer der deutlichsten Beweise für den gewünschten musikalischen Still."
Zwei,Zweig,Popmusik ist der lukrativste Zwei der Musikindustrie.
erzieht,erzielt,"Wie das Ergebnis erzieht wird etwa Öffnen von Dateien, Positionieren eines Zeigers, etc., ist im Gegensatz zu 3GL-Sprachen nicht mehr zu beschreiben."
Flame,Flamme,Propan-Sauerstoff muß deshalb mit neutral bis schwachoxidierender Flame gearbeitet werden.
Email,Emaille,Praseodymverbindungen werden zum Färben von Glas und Email verwendet.
vorgesetzt,fortgesetzt,Allerdings werden nicht alle Atome gespalten so das der Brutprozess zu 242Pu und noch schwereren Isotopen vorgesetzt werden kann.
Laute,Laut,Die Phonetik auch Lautlehre genannt ist die Lehre der von Menschen hervorgebrachten Laute.
geeinigt,geeignet,Als Windschutz sind Pappeln wegen ihres raschen Wuchses gut geeinigt.
direkter,diskreter,Sie haben unterschiedliche Größen und Eigenschaften und werden zum Berechnen und Speichern direkter Zahlenwerte benutzt.
eingeschlossen,eingeflossen,Patristik in das christliche Glaubens- und Gedankengut eingeschlossen.
ist,isst,Vincent & Jules erschießen am Anfang des Filmes Brett der am Tisch seinen Hamburger zum Frühstück ist.
Shopper,Chopper,"Shopper- schlüsseln verlässt, hält er sie eigentlich in der linken Hand, während man bei der Nahaufnahme dagegen eine rechten Hand sieht."
Rechts,Rechte,Gleichwohl wurden diese Rechts vom Zaren nicht respektiert.
Bürgel,Bürger,"Während Mailand der Heimsuchung durch die Pest entgeht, sterben in Florenz vier Fünftel der Bürgel."
Eröffnung,Öffnung,"Die Beulenpest als solche ist nicht tödlich, und die Beulen sind nach Eröffnung auch heilbar."
gesucht,genutzt,"Gnutella ist ein weiterer offener Standard, der umfangreich getestet ist, jedoch bisher fast ausschließlich für Dateiverteilung und dezentrales Suchen von Dateien gesucht wird."
lieben,blieben,"Nur das preußische Finanzministerium, die Archivverwaltung und wenige andere Landesbehörden lieben bis 1945 eigenständig."
war,wahr,Diese so genannten Oberschwingungen nimmt man als einen einzelnen Klang war.
entscheiden,entschieden,Variante a lehnt er entscheiden ab „Recht durch Frieden ist sinnvoll und anständig; Friede durch Recht ist imperialistischer Herrschaftsanspruch“.
äußern,äußeren,"Zwischen dem Aufdruck und der Aluminiumschicht Dicke der Reflexionsschicht 50-100 nm befindet sich noch eine Schutzschicht, die dazu da ist um das Aluminium vor äußern Einflüssen zu schützen."
stärke,starke,"Auch die Tallage ist südlich der Elbe wesentlich flacher, was die stärke Entwicklung dort begünstigte."
viel,fiel,Das Land viel damit in eine tiefe Krise.
bestimmen,bestimmten,Regelwerk Wie jede Meisterschaft unterliegt auch die Fußball-WM bestimmen Regeln.
überlegen,überleben,"Ja, aber du wirst eingestehen, dass es täglich weniger werden und in absehbarer Zeit nur noch einige Global Player mit ihren kleinen Zulieferern überlegen werden."
start,stark,"Hermann Muller begann einige Zeit später, mit Röntgenstrahlen zu experimentieren und konnte zeigen, dass die Bestrahlung von Fliegen deren Mutationsrate start erhöht."
keinem,keimen,Oft keinem sie allerdings schon nach ein paar Monaten.
zugegen,zugegeben,Unter starkem Rühren werden nun einige Tropfen Olivenöl zugegen.
unbenannt,umbenannt,Das von ihr und der polnischen Regierung 1932 gegründete Radium-Institut wurde 1951 nach ihr unbenannt.
einige,eigene,Neuseeland hat aber auch eine einige Filmindustrie Bekannt ist beispielsweise der Science-Fiction-Film Quiet Earth.
lieben,lieber,"Er kommt, nimmt eine Frau, und unvermögend ihren Hochmut zu ertragen, kehrt er lieben in die Hölle zurück, als sich wieder mit ihr zu vereinigen."
lasen,lassen,"In der Atomphysik werden Alkalimetalle häufig eingesetzt, da sie sich aufgrund ihrer besonders einfachen elektronischen Struktur besonders einfach mit Lasern kühlen lasen."
After,Alter,Im After von sechs Jahren wurde Turing nach St.Michaels in eine Ganztagsschule geschickt.
Rezessionen,Rezensionen,Der Film erhielt überwiegend positive Rezessionen und Jolie erntete besonderes Lob. 
Krampf,Kampf,Während seiner Haftzeit schrieb Hitler mit Hilfe seines Sekretärs Rudolf Hess den ersten Teil seines Buches Mein Krampf.
Falten,Fakten,"Hier wird sinnentstellend und auf unterstem intellektuellen Niveau eine Scheiße zurechtgeschrieben, die mit den Falten wenig bis gar nichts zu tun hat."
